,title,cast,director,keywords,genres,fea
2085,Raiders of the Lost Ark,"['harrisonford', 'karenallen', 'paulfreeman', 'ronaldlacey', 'johnrhys-davies']",stevenspielberg,"['savingtheworld', 'riddle', 'nepal', 'himalaya', 'cairo']","['adventure', 'action']",savingtheworld riddle nepal himalaya cairo harrisonford karenallen paulfreeman ronaldlacey johnrhys-davies stevenspielberg adventure action
2086,Home Alone 2: Lost in New York,"['macaulayculkin', 'joepesci', ""catherineo'hara"", 'danielstern', 'johnheard']",chriscolumbus,"['holiday', 'newyork', 'newyorkcity', 'christmas']","['comedy', 'family', 'adventure', 'crime']",holiday newyork newyorkcity christmas macaulayculkin joepesci catherineo'hara danielstern johnheard chriscolumbus comedy family adventure crime
2087,Close Encounters of the Third Kind,"['richarddreyfuss', 'françoistruffaut', 'terigarr', 'melindadillon', 'bobbalaban']",stevenspielberg,"['indiana', 'obsession', 'extraterrestrialtechnology', 'evacuation', 'blackout']","['sciencefiction', 'drama']",indiana obsession extraterrestrialtechnology evacuation blackout richarddreyfuss françoistruffaut terigarr melindadillon bobbalaban stevenspielberg sciencefiction drama
2088,Pulse,"['kristenbell', 'iansomerhalder', 'christinamilian', 'rickgonzalez', 'jonathantucker']",jimsonzero,"['suicide', 'hacker', 'deathofafriend', 'website', 'remake']","['horror', 'thriller']",suicide hacker deathofafriend website remake kristenbell iansomerhalder christinamilian rickgonzalez jonathantucker jimsonzero horror thriller
2089,Beverly Hills Cop II,"['eddiemurphy', 'judgereinhold', 'johnashton', 'ronnycox', 'paulreiser']",tonyscott,"['smugglingofarms', 'detective', 'intensivecare', 'undercover', 'stripclub']","['action', 'comedy', 'crime']",smugglingofarms detective intensivecare undercover stripclub eddiemurphy judgereinhold johnashton ronnycox paulreiser tonyscott action comedy crime
2090,Bringing Down the House,"['stevemartin', 'queenlatifah', 'eugenelevy', 'joanplowright', 'jeansmart']",adamshankman,"['prison', 'ex-boyfriend', 'support', 'escape', 'lawyer']",['comedy'],prison ex-boyfriend support escape lawyer stevemartin queenlatifah eugenelevy joanplowright jeansmart adamshankman comedy
2091,The Silence of the Lambs,"['jodiefoster', 'anthonyhopkins', 'scottglenn', 'tedlevine', 'anthonyheald']",jonathandemme,"['basedonnovel', 'psychopath', 'horror', 'suspense', 'serialkiller']","['crime', 'drama', 'thriller']",basedonnovel psychopath horror suspense serialkiller jodiefoster anthonyhopkins scottglenn tedlevine anthonyheald jonathandemme crime drama thriller
2092,Wayne's World,"['mikemyers', 'danacarvey', 'roblowe', 'tiacarrere', 'laraflynnboyle']",penelopespheeris,"['tvshow', 'heavymetal', 'televisionproducer', 'womandirector']","['music', 'comedy']",tvshow heavymetal televisionproducer womandirector mikemyers danacarvey roblowe tiacarrere laraflynnboyle penelopespheeris music comedy
2093,Jackass 3D,"['johnnyknoxville', 'bammargera', 'ryandunn', 'steve-o', 'chrispontius']",jefftremaine,"['pain', 'stunts', 'stuntman', 'stupidity', 'comedy']","['comedy', 'documentary', 'action']",pain stunts stuntman stupidity comedy johnnyknoxville bammargera ryandunn steve-o chrispontius jefftremaine comedy documentary action
2094,Jaws 2,"['royscheider', 'lorrainegary', 'murrayhamilton', 'josephmascolo', 'jeffreykramer']",jeannotszwarc,"['mayor', 'island', 'policechief', 'sailing', 'boataccident']","['horror', 'thriller']",mayor island policechief sailing boataccident royscheider lorrainegary murrayhamilton josephmascolo jeffreykramer jeannotszwarc horror thriller
2095,Beverly Hills Chihuahua,"['drewbarrymore', 'piperperabo', 'andygarcía', 'georgelopez', 'paulrodríguez']",rajagosnell,"['dogdirt', 'chihuahua', 'pinata', 'pottedplant', 'duringcreditsstinger']","['adventure', 'comedy', 'family']",dogdirt chihuahua pinata pottedplant duringcreditsstinger drewbarrymore piperperabo andygarcía georgelopez paulrodríguez rajagosnell adventure comedy family
2096,The Conjuring,"['patrickwilson', 'verafarmiga', 'lilitaylor', 'ronlivingston', 'shanleycaswell']",jameswan,"['sistersisterrelationship', 'exorcism', 'rhodeisland', 'basedontruestory', 'farmhouse']","['horror', 'thriller']",sistersisterrelationship exorcism rhodeisland basedontruestory farmhouse patrickwilson verafarmiga lilitaylor ronlivingston shanleycaswell jameswan horror thriller
2097,Are We There Yet?,"['icecube', 'nialong', 'aleishaallen', 'philipbolden', 'jaymohr']",brianlevant,"['carjourney', 'macho', 'roadtrip', 'children', 'prettywoman']","['adventure', 'comedy', 'family', 'romance']",carjourney macho roadtrip children prettywoman icecube nialong aleishaallen philipbolden jaymohr brianlevant adventure comedy family romance
2098,Tammy,"['melissamccarthy', 'susansarandon', 'kathybates', 'allisonjanney', 'danaykroyd']",benfalcone,[],['comedy'], melissamccarthy susansarandon kathybates allisonjanney danaykroyd benfalcone comedy
2099,School of Rock,"['jackblack', 'joancusack', 'mikewhite', 'sarahsilverman', 'adampascal']",richardlinklater,"['rockandroll', 'rock', 'highschool', 'musicband']","['comedy', 'music']",rockandroll rock highschool musicband jackblack joancusack mikewhite sarahsilverman adampascal richardlinklater comedy music
2100,Mortal Kombat,"['christopherlambert', 'robinshou', 'lindenashby', 'cary-hiroyukitagawa', 'bridgettewilson']",paulw.s.anderson,"['martialarts', 'monster', 'island', 'gore', 'sorcerer']","['action', 'fantasy']",martialarts monster island gore sorcerer christopherlambert robinshou lindenashby cary-hiroyukitagawa bridgettewilson paulw.s.anderson action fantasy
2101,White Chicks,"['shawnwayans', 'marlonwayans', 'jaimeking', 'frankiefaison', 'maitlandward']",keenenivorywayans,"['undercover', 'fbi', 'fishoutofwater', 'highsociety', 'buddycop']",['comedy'],undercover fbi fishoutofwater highsociety buddycop shawnwayans marlonwayans jaimeking frankiefaison maitlandward keenenivorywayans comedy
2102,The Descendants,"['georgeclooney', 'shailenewoodley', 'amaramiller', 'nickkrause', 'robertforster']",alexanderpayne,"['hawaii', 'father-in-law', 'daughter', 'cheatingwife', 'beachhouse']","['comedy', 'drama']",hawaii father-in-law daughter cheatingwife beachhouse georgeclooney shailenewoodley amaramiller nickkrause robertforster alexanderpayne comedy drama
2103,Holes,"['sigourneyweaver', 'jonvoight', 'timblakenelson', 'patriciaarquette', 'shialabeouf']",andrewdavis,"['curse', 'suitor', 'falseaccusations', 'referencetoannabellee', 'digging']","['adventure', 'family', 'drama', 'comedy']",curse suitor falseaccusations referencetoannabellee digging sigourneyweaver jonvoight timblakenelson patriciaarquette shialabeouf andrewdavis adventure family drama comedy
2104,The Last Song,"['mileycyrus', 'gregkinnear', 'bobbycoleman', 'liamhemsworth', 'hallockbeals']",julieannerobinson,"['brothersisterrelationship', 'newlove', 'daughter', 'summervacation', 'womandirector']","['drama', 'family', 'romance']",brothersisterrelationship newlove daughter summervacation womandirector mileycyrus gregkinnear bobbycoleman liamhemsworth hallockbeals julieannerobinson drama family romance
2105,12 Years a Slave,"['chiwetelejiofor', 'michaelfassbender', ""lupitanyong'o"", 'benedictcumberbatch', 'pauldano']",stevemcqueen,"['whip', 'kidnapping', 'slavery', 'plantation', 'nightshift']","['drama', 'history']",whip kidnapping slavery plantation nightshift chiwetelejiofor michaelfassbender lupitanyong'o benedictcumberbatch pauldano stevemcqueen drama history
2106,Drumline,"['nickcannon', 'zoesaldana', 'orlandojones', 'leonardroberts', 'gq']",charlesstoneiii,"['musicrehearsal', 'fraternityinitiation', 'televisionbroadcast', 'whitemalepretendingtobeblack', 'sororityparty']","['drama', 'romance', 'comedy', 'music']",musicrehearsal fraternityinitiation televisionbroadcast whitemalepretendingtobeblack sororityparty nickcannon zoesaldana orlandojones leonardroberts gq charlesstoneiii drama romance comedy music
2107,Why Did I Get Married Too?,"['tylerperry', 'janetjackson', 'jillscott', 'sharonleal', 'malikyoba']",tylerperry,[],"['comedy', 'romance']", tylerperry janetjackson jillscott sharonleal malikyoba tylerperry comedy romance
2108,Edward Scissorhands,"['johnnydepp', 'winonaryder', 'diannewiest', 'alanarkin', 'anthonymichaelhall']",timburton,"['underdog', 'loveatfirstsight', 'hairdresser', 'smalltown', 'scissors']","['fantasy', 'drama', 'romance']",underdog loveatfirstsight hairdresser smalltown scissors johnnydepp winonaryder diannewiest alanarkin anthonymichaelhall timburton fantasy drama romance
2109,Me Before You,"['emiliaclarke', 'samclaflin', 'janetmcteer', 'charlesdance', 'brendancoyle']",theasharrock,"['england', 'basedonnovel', 'depression', 'smalltown', 'wheelchair']","['drama', 'romance']",england basedonnovel depression smalltown wheelchair emiliaclarke samclaflin janetmcteer charlesdance brendancoyle theasharrock drama romance
2110,Madea's Witness Protection,"['tylerperry', 'eugenelevy', 'deniserichards', 'dorisroberts', 'devanleos']",tylerperry,[],"['drama', 'comedy', 'crime']", tylerperry eugenelevy deniserichards dorisroberts devanleos tylerperry drama comedy crime
2111,The French Connection,"['genehackman', 'fernandorey', 'royscheider', 'tonylobianco', 'marcelbozzuffi']",williamfriedkin,"['policebrutality', 'marseille', 'nightlife', 'attemptedmurder', 'drugdealer']","['action', 'crime', 'thriller']",policebrutality marseille nightlife attemptedmurder drugdealer genehackman fernandorey royscheider tonylobianco marcelbozzuffi williamfriedkin action crime thriller
2112,Bad Moms,"['milakunis', 'kristenbell', 'kathrynhahn', 'christinaapplegate', 'jadapinkettsmith']",jonlucas,"['alcohol', 'bar', 'party', 'divorce', 'family']",['comedy'],alcohol bar party divorce family milakunis kristenbell kathrynhahn christinaapplegate jadapinkettsmith jonlucas comedy
2113,Date Movie,"['alysonhannigan', 'adamcampbell', 'sophiemonk', 'jennifercoolidge', 'fredwillard']",jasonfriedberg,"['date', 'diary', 'parents-in-law', 'bridegroom', 'wedding']",['comedy'],date diary parents-in-law bridegroom wedding alysonhannigan adamcampbell sophiemonk jennifercoolidge fredwillard jasonfriedberg comedy
2114,Return to Never Land,"['harrietowen', 'blayneweaver', 'jeffbennett', 'kathsoucie', 'coreyburton']",robinbudd,['animation'],"['adventure', 'fantasy', 'animation', 'family']",animation harrietowen blayneweaver jeffbennett kathsoucie coreyburton robinbudd adventure fantasy animation family
2115,Selma,"['davidoyelowo', 'tomwilkinson', 'carmenejogo', 'andréholland', 'omarj.dorsey']",avaduvernay,"['alabama', 'martinlutherking', 'president', 'blackamerican', 'civilrights']","['history', 'drama']",alabama martinlutherking president blackamerican civilrights davidoyelowo tomwilkinson carmenejogo andréholland omarj.dorsey avaduvernay history drama
2116,The Jungle Book 2,"['johngoodman', 'haleyjoelosment', 'maewhitman', 'connorfunk', 'bobjoles']",stevetrenbirth,"['river', 'musical', 'tiger', 'village', 'feralchild']","['family', 'animation', 'adventure']",river musical tiger village feralchild johngoodman haleyjoelosment maewhitman connorfunk bobjoles stevetrenbirth family animation adventure
2117,Boogeyman,"['emilydeschanel', 'barrywatson', 'skyemccolebartusiak', 'lucylawless', 'torymussett']",stephent.kay,"['nightmare', 'hallucination', 'childhoodtrauma', 'break-up', 'hometown']","['thriller', 'horror', 'drama', 'mystery']",nightmare hallucination childhoodtrauma break-up hometown emilydeschanel barrywatson skyemccolebartusiak lucylawless torymussett stephent.kay thriller horror drama mystery
2118,Premonition,"['sandrabullock', 'julianmcmahon', 'courtneytaylorburness', 'nialong', 'shyannmcclure']",mennanyapo,"['dejavu', 'dyinganddeath', 'timetravel', 'lossofhusband', 'carcrash']","['thriller', 'drama', 'mystery']",dejavu dyinganddeath timetravel lossofhusband carcrash sandrabullock julianmcmahon courtneytaylorburness nialong shyannmcclure mennanyapo thriller drama mystery
2119,The Tigger Movie,"['jimcummings', 'nikitahopkins', 'kensansom', 'johnfiedler', 'petercullen']",junfalkenstein,"['owl', 'donkey', 'tiger', 'piglet', 'bear']","['animation', 'family']",owl donkey tiger piglet bear jimcummings nikitahopkins kensansom johnfiedler petercullen junfalkenstein animation family
2120,Orphan,"['verafarmiga', 'petersarsgaard', 'isabellefuhrman', 'cchpounder', 'jimmybennett']",jaumecollet-serra,"['nun', 'deaf-mute', 'orphan', 'allgirl', 'troubledmarriage']","['horror', 'thriller', 'mystery']",nun deaf-mute orphan allgirl troubledmarriage verafarmiga petersarsgaard isabellefuhrman cchpounder jimmybennett jaumecollet-serra horror thriller mystery
2121,Max,"['thomashadenchurch', 'joshwiggins', 'laurengraham', 'robbieamell', 'miaxitlali']",boazyakin,"['afghanistan', 'war', 'basedontruestory', 'rescue', 'betrayal']","['adventure', 'drama', 'family']",afghanistan war basedontruestory rescue betrayal thomashadenchurch joshwiggins laurengraham robbieamell miaxitlali boazyakin adventure drama family
2122,Epic Movie,"['kalpenn', 'adamcampbell', 'jennifercoolidge', 'jaymamays', 'faunea.chambers']",jasonfriedberg,[],"['action', 'adventure', 'comedy']", kalpenn adamcampbell jennifercoolidge jaymamays faunea.chambers jasonfriedberg action adventure comedy
2123,Spotlight,"['markruffalo', 'michaelkeaton', 'rachelmcadams', 'lievschreiber', 'johnslattery']",tommccarthy,"['childabuse', 'journalism', 'judge', 'florida', 'boston']","['drama', 'thriller', 'history']",childabuse journalism judge florida boston markruffalo michaelkeaton rachelmcadams lievschreiber johnslattery tommccarthy drama thriller history
2124,Lakeview Terrace,"['samuell.jackson', 'patrickwilson', 'kerrywashington', 'ronglass', 'justinchambers']",neillabute,"['vandalism', 'harassment', 'neighbor', 'houseparty', 'shottodeath']","['drama', 'crime', 'thriller']",vandalism harassment neighbor houseparty shottodeath samuell.jackson patrickwilson kerrywashington ronglass justinchambers neillabute drama crime thriller
2125,The Grudge 2,"['sarahmichellegellar', 'ambertamblyn', 'edisonchen', 'ariellekebbel', 'jenniferbeals']",takashishimizu,"['remake', 'littleboy', 'curse']","['horror', 'thriller']",remake littleboy curse sarahmichellegellar ambertamblyn edisonchen ariellekebbel jenniferbeals takashishimizu horror thriller
2126,How Stella Got Her Groove Back,"['angelabassett', 'tayediggs', 'whoopigoldberg', 'reginaking', 'suzzannedouglas']",kevinrodneysullivan,"['blackpeople', 'agedifference', 'jamaica', 'vacation', 'femaleprotagonist']","['comedy', 'drama', 'romance']",blackpeople agedifference jamaica vacation femaleprotagonist angelabassett tayediggs whoopigoldberg reginaking suzzannedouglas kevinrodneysullivan comedy drama romance
2127,Bill & Ted's Bogus Journey,"['keanureeves', 'alexwinter', 'georgecarlin', 'williamsadler', 'jossackland']",peterhewitt,"['future', 'dyinganddeath', 'heaven', 'timetravel', 'heavymetal']","['adventure', 'comedy', 'family', 'fantasy', 'sciencefiction']",future dyinganddeath heaven timetravel heavymetal keanureeves alexwinter georgecarlin williamsadler jossackland peterhewitt adventure comedy family fantasy sciencefiction
2128,Man of the Year,"['robinwilliams', 'christopherwalken', 'lauralinney', 'lewisblack', 'jeffgoldblum']",barrylevinson,"['usapresident', 'presidentialelection', 'comedian']","['comedy', 'drama', 'romance', 'thriller']",usapresident presidentialelection comedian robinwilliams christopherwalken lauralinney lewisblack jeffgoldblum barrylevinson comedy drama romance thriller
2129,The Black Hole,"['maximilianschell', 'anthonyperkins', 'robertforster', 'josephbottoms', 'ernestborgnine']",garynelson,"['killerrobot', 'spacemarine', 'ghostship', 'blackhole']","['adventure', 'family', 'sciencefiction', 'action']",killerrobot spacemarine ghostship blackhole maximilianschell anthonyperkins robertforster josephbottoms ernestborgnine garynelson adventure family sciencefiction action
2130,The American,"['georgeclooney', 'violanteplacido', 'theklareuten', 'paolobonacelli', 'johanleysen']",antoncorbijn,"['prostitute', 'sweden', 'suspense', 'priest', 'verylittledialogue']","['crime', 'drama', 'thriller']",prostitute sweden suspense priest verylittledialogue georgeclooney violanteplacido theklareuten paolobonacelli johanleysen antoncorbijn crime drama thriller
2131,Selena,"['jenniferlopez', 'edwardjamesolmos', 'constancemarie', 'jonseda', 'lupeontiveros']",gregorynava,"['musical', 'tejano', 'elopement', 'bustier', 'fanclub']",['drama'],musical tejano elopement bustier fanclub jenniferlopez edwardjamesolmos constancemarie jonseda lupeontiveros gregorynava drama
2132,Vampires Suck,"['chrisriggi', 'mattlanter', 'jennproske', 'kenjeong', 'bradleydodds']",jasonfriedberg,"['vampire', 'highschool', 'prom', 'spoof', 'horrorspoof']","['horror', 'comedy']",vampire highschool prom spoof horrorspoof chrisriggi mattlanter jennproske kenjeong bradleydodds jasonfriedberg horror comedy
2133,Babel,"['bradpitt', 'cateblanchett', 'gaelgarcíabernal', 'rinkokikuchi', 'adrianabarraza']",alejandrogonzáleziñárritu,"['terror', 'lossofmother', 'gun', 'morocco', 'deaf-mute']",['drama'],terror lossofmother gun morocco deaf-mute bradpitt cateblanchett gaelgarcíabernal rinkokikuchi adrianabarraza alejandrogonzáleziñárritu drama
2134,This Is Where I Leave You,"['jasonbateman', 'tinafey', 'adamdriver', 'rosebyrne', 'coreystoll']",shawnlevy,"['basedonnovel', 'funeral', 'dysfunctionalfamily', 'deathoffather', 'manchild']","['drama', 'comedy']",basedonnovel funeral dysfunctionalfamily deathoffather manchild jasonbateman tinafey adamdriver rosebyrne coreystoll shawnlevy drama comedy
2135,Doubt,"['merylstreep', 'philipseymourhoffman', 'amyadams', 'violadavis', 'alicedrummond']",johnpatrickshanley,"['sexualabuse', 'boy', 'wine', 'gift', 'janitor']","['drama', 'mystery']",sexualabuse boy wine gift janitor merylstreep philipseymourhoffman amyadams violadavis alicedrummond johnpatrickshanley drama mystery
2136,Team America: World Police,"['treyparker', 'mattstone', 'kristenmiller', 'masasamoyo', 'darannorris']",treyparker,"['paris', 'france', 'cairo', 'capitalism', 'lossoflover']","['music', 'adventure', 'animation', 'action', 'comedy']",paris france cairo capitalism lossoflover treyparker mattstone kristenmiller masasamoyo darannorris treyparker music adventure animation action comedy
2137,Texas Chainsaw 3D,"['alexandradaddario', 'danyeager', 'billmoseley', 'marilynburns', 'taniaraymonde']",johnluessenhop,"['sequel', 'gore', 'leatherface', 'slasher', 'chainsaw']","['horror', 'thriller']",sequel gore leatherface slasher chainsaw alexandradaddario danyeager billmoseley marilynburns taniaraymonde johnluessenhop horror thriller
2138,Copycat,"['sigourneyweaver', 'hollyhunter', 'willpatton', 'williammcnamara', 'harryconnickjr.']",jonamiel,"['policebrutality', 'psychology', 'policeoperation', 'policeprotection', 'serialkiller']","['drama', 'thriller']",policebrutality psychology policeoperation policeprotection serialkiller sigourneyweaver hollyhunter willpatton williammcnamara harryconnickjr. jonamiel drama thriller
2139,Scary Movie 5,"['simonrex', 'ashleytisdale', 'charliesheen', 'lindsaylohan', 'ericaash']",malcolmd.lee,"['sequel', 'parody', 'spoof', 'aftercreditsstinger', 'duringcreditsstinger']",['comedy'],sequel parody spoof aftercreditsstinger duringcreditsstinger simonrex ashleytisdale charliesheen lindsaylohan ericaash malcolmd.lee comedy
2140,Paint Your Wagon,"['leemarvin', 'clinteastwood', 'jeanseberg', 'harvepresnell', 'raywalston']",joshualogan,"['mining', 'prospector']","['drama', 'action', 'comedy', 'western', 'music']",mining prospector leemarvin clinteastwood jeanseberg harvepresnell raywalston joshualogan drama action comedy western music
2141,Milk,"['seanpenn', 'emilehirsch', 'jamesfranco', 'joshbrolin', 'diegoluna']",gusvansant,"['gay', 'sanfrancisco', 'homophobia', 'mayor', 'biography']","['history', 'drama']",gay sanfrancisco homophobia mayor biography seanpenn emilehirsch jamesfranco joshbrolin diegoluna gusvansant history drama
2142,Risen,"['tomfelton', 'cliffcurtis', 'josephfiennes', 'peterfirth', 'markkilleen']",kevinreynolds,"['christianity', 'jesuschrist', 'apostle', 'crucifixion', 'jerusalem']",['action'],christianity jesuschrist apostle crucifixion jerusalem tomfelton cliffcurtis josephfiennes peterfirth markkilleen kevinreynolds action
2143,Ghost Ship,"['gabrielbyrne', 'juliannamargulies', 'desmondharrington', 'roneldard', 'isaiahwashington']",stevebeck,"['cruise', 'pilot', 'ghostship']","['horror', 'mystery', 'thriller']",cruise pilot ghostship gabrielbyrne juliannamargulies desmondharrington roneldard isaiahwashington stevebeck horror mystery thriller
2144,A Very Harold & Kumar Christmas,"['neilpatrickharris', 'johncho', 'eliaskoteas', 'danneelackles', 'kalpenn']",toddstrauss-schulson,"['holiday', 'indianlead', 'beer', 'christmastree', 'cannabis']",['comedy'],holiday indianlead beer christmastree cannabis neilpatrickharris johncho eliaskoteas danneelackles kalpenn toddstrauss-schulson comedy
2145,Wild Things,"['mattdillon', 'kevinbacon', 'deniserichards', 'nevecampbell', 'theresarussell']",johnmcnaughton,"['upperclass', 'poison', 'sailboat', 'rape', 'sexualabuse']","['crime', 'drama', 'mystery']",upperclass poison sailboat rape sexualabuse mattdillon kevinbacon deniserichards nevecampbell theresarussell johnmcnaughton crime drama mystery
2146,The Stepfather,"['dylanwalsh', 'selaward', 'pennbadgley', 'amberheard', 'sherrystringfield']",nelsonmccormick,"['stepfather', 'remake']","['horror', 'thriller', 'mystery']",stepfather remake dylanwalsh selaward pennbadgley amberheard sherrystringfield nelsonmccormick horror thriller mystery
2147,The Debt,"['helenmirren', 'ciaránhinds', 'tomwilkinson', 'jessicachastain', 'samworthington']",johnmadden,"['beach', 'mossad', 'secretagent', 'insaneasylum', 'lye']","['drama', 'thriller']",beach mossad secretagent insaneasylum lye helenmirren ciaránhinds tomwilkinson jessicachastain samworthington johnmadden drama thriller
2148,High Fidelity,"['johncusack', 'ibenhjejle', 'toddlouiso', 'jackblack', 'lisabonet']",stephenfrears,"['chicago', 'musicrecord', 'rockandroll', 'recordstore', 'soul']","['comedy', 'drama', 'romance', 'music']",chicago musicrecord rockandroll recordstore soul johncusack ibenhjejle toddlouiso jackblack lisabonet stephenfrears comedy drama romance music
2149,One Missed Call,"['shannynsossamon', 'edwardburns', 'anaclaudiatalancón', 'raywise', 'azuraskye']",ericvalette,"['candy', 'lossofsister', 'mobilephone', 'answeringmachine', 'dyinganddeath']","['horror', 'mystery', 'thriller']",candy lossofsister mobilephone answeringmachine dyinganddeath shannynsossamon edwardburns anaclaudiatalancón raywise azuraskye ericvalette horror mystery thriller
2150,Eye for an Eye,"['sallyfield', 'kiefersutherland', 'edharris', ""beverlyd'angelo"", 'charlaynewoodard']",johnschlesinger,"['rape', 'gun', 'self-defense', 'grievingparents']","['drama', 'thriller']",rape gun self-defense grievingparents sallyfield kiefersutherland edharris beverlyd'angelo charlaynewoodard johnschlesinger drama thriller
2151,The Bank Job,"['jasonstatham', 'saffronburrows', 'stephencampbellmoore', 'danielmays', 'jamesfaulkner']",rogerdonaldson,"['infidelity', 'subway', 'cardealer', 'vault', 'mannequin']","['thriller', 'crime', 'drama']",infidelity subway cardealer vault mannequin jasonstatham saffronburrows stephencampbellmoore danielmays jamesfaulkner rogerdonaldson thriller crime drama
2152,Eternal Sunshine of the Spotless Mind,"['jimcarrey', 'katewinslet', 'kirstendunst', 'markruffalo', 'elijahwood']",michelgondry,"['dejavu', 'regret', 'jealousy', 'amnesia', 'dream']","['sciencefiction', 'drama', 'romance']",dejavu regret jealousy amnesia dream jimcarrey katewinslet kirstendunst markruffalo elijahwood michelgondry sciencefiction drama romance
2153,You Again,"['kristenbell', 'sigourneyweaver', 'bettywhite', 'kristinchenoweth', 'odetteannable']",andyfickman,"['brothersisterrelationship', 'marriage', 'bully', 'duringcreditsstinger']","['comedy', 'romance']",brothersisterrelationship marriage bully duringcreditsstinger kristenbell sigourneyweaver bettywhite kristinchenoweth odetteannable andyfickman comedy romance
2154,Street Kings,"['keanureeves', 'forestwhitaker', 'chrisevans', 'hughlaurie', 'marthahigareda']",davidayer,"['police', 'losangeles']","['action', 'crime', 'drama', 'thriller']",police losangeles keanureeves forestwhitaker chrisevans hughlaurie marthahigareda davidayer action crime drama thriller
2155,The World's End,"['simonpegg', 'nickfrost', 'martinfreeman', 'eddiemarsan', 'paddyconsidine']",edgarwright,"['endoftheworld', 'apocalypse', 'trilogy', 'homage']","['comedy', 'action', 'sciencefiction']",endoftheworld apocalypse trilogy homage simonpegg nickfrost martinfreeman eddiemarsan paddyconsidine edgarwright comedy action sciencefiction
2156,Nancy Drew,"['emmaroberts', 'joshflitter', 'maxthieriot', 'rachaelleighcook', 'tatedonovan']",andrewfleming,"['california', 'detective', 'basedonnovel', 'dream', 'kidnapping']","['action', 'adventure', 'crime', 'family', 'mystery']",california detective basedonnovel dream kidnapping emmaroberts joshflitter maxthieriot rachaelleighcook tatedonovan andrewfleming action adventure crime family mystery
2157,Daybreakers,"['ethanhawke', 'samneill', 'willemdafoe', 'claudiakarvan', 'isabellucas']",michaelspierig,"['femalenudity', 'sunrise', 'waitress', 'experiment', 'rain']","['fantasy', 'horror', 'action', 'thriller', 'sciencefiction']",femalenudity sunrise waitress experiment rain ethanhawke samneill willemdafoe claudiakarvan isabellucas michaelspierig fantasy horror action thriller sciencefiction
2158,She's Out of My League,"['aliceeve', 'jaybaruchel', 'mikevogel', 'krystenritter', 'debrajorupp']",jimfieldsmith,"['confidence', 'romanticcomedy', 'dating', 'insecurity', 'airportsecurity']","['comedy', 'romance']",confidence romanticcomedy dating insecurity airportsecurity aliceeve jaybaruchel mikevogel krystenritter debrajorupp jimfieldsmith comedy romance
2159,Monte Carlo,"['selenagomez', 'katiecassidy', 'corymonteith', 'leightonmeester', 'andiemacdowell']",thomasbezucha,"['montecarlo', 'mistakenidentity', 'look-alike', 'youngwoman', 'texan']","['adventure', 'comedy', 'romance']",montecarlo mistakenidentity look-alike youngwoman texan selenagomez katiecassidy corymonteith leightonmeester andiemacdowell thomasbezucha adventure comedy romance
2160,Stay Alive,"['jonfoster', 'samairearmstrong', 'frankiemuniz', 'jimmisimpson', 'wendellpierce']",williambrentbell,"['videogame', 'hacker', 'virtualreality', 'virtualfight', 'baroness']","['horror', 'thriller']",videogame hacker virtualreality virtualfight baroness jonfoster samairearmstrong frankiemuniz jimmisimpson wendellpierce williambrentbell horror thriller
2161,Quigley Down Under,"['tomselleck', 'laurasangiacomo', 'alanrickman', 'chrishaywood', 'ronhaddrick']",simonwincer,"['australian', 'chase']","['romance', 'action', 'adventure', 'western', 'drama']",australian chase tomselleck laurasangiacomo alanrickman chrishaywood ronhaddrick simonwincer romance action adventure western drama
2162,Alpha and Omega,"['haydenpanettiere', 'justinlong', 'dennishopper', 'christinaricci', 'dannyglover']",bengluck,"['wolf', 'arrangedmarriage', 'forbiddenlove', 'roadtrip', 'park']","['family', 'animation']",wolf arrangedmarriage forbiddenlove roadtrip park haydenpanettiere justinlong dennishopper christinaricci dannyglover bengluck family animation
2163,The Covenant,"['stevenstrait', 'lauraramsey', 'jessicalucas', 'taylorkitsch', 'chacecrawford']",rennyharlin,"['magic', 'malefriendship', 'college', 'supernaturalpowers', 'teenager']","['action', 'adventure', 'fantasy', 'horror', 'sciencefiction']",magic malefriendship college supernaturalpowers teenager stevenstrait lauraramsey jessicalucas taylorkitsch chacecrawford rennyharlin action adventure fantasy horror sciencefiction
2164,Stick It,"['jeffbridges', 'missyperegrym', 'vanessalengies', 'maddycurley', 'nikkisoohoo']",jessicabendinger,"['gymnastics', 'trainer', 'puberty', 'training', 'sport']","['comedy', 'drama']",gymnastics trainer puberty training sport jeffbridges missyperegrym vanessalengies maddycurley nikkisoohoo jessicabendinger comedy drama
2165,Shorts,"['jimmybennett', 'katdennings', 'jolievanier', 'williamh.macy', 'jamesspader']",robertrodriguez,[],"['comedy', 'family']", jimmybennett katdennings jolievanier williamh.macy jamesspader robertrodriguez comedy family
2166,To Die For,"['nicolekidman', 'mattdillon', 'joaquinphoenix', 'caseyaffleck', 'illeanadouglas']",gusvansant,"['adultery', 'winter', 'obsession', 'television', 'newhampshire']","['fantasy', 'drama', 'comedy', 'thriller']",adultery winter obsession television newhampshire nicolekidman mattdillon joaquinphoenix caseyaffleck illeanadouglas gusvansant fantasy drama comedy thriller
